NC_086027.1	0	20.7	0.618
NC_086027.1	1	49.6	0.148
NC_086027.1	2	57.2	0.040
NC_086027.1	3	57.8	0.028
NC_086027.1	4	48.6	0.172
NC_086027.1	5	21.3	0.595
NC_086027.1	6	27.9	0.476
NC_086027.1	7	41.8	0.278
NC_086027.1	8	40.3	0.299
NC_086027.1	9	47.4	0.182
NC_086027.1	10	42.2	0.270
NC_086027.1	11	38.7	0.332
NC_086027.1	12	38.6	0.325
NC_086027.1	13	40.1	0.296
NC_086027.1	14	19.7	0.591
NC_086027.1	15	38.1	0.335
NC_086027.1	16	39.8	0.298
NC_086027.1	17	39.9	0.302
NC_086027.1	18	36.2	0.360
NC_086027.1	19	40.3	0.294
NC_086027.1	20	28.3	0.478
NC_086027.1	21	20.2	0.610
NC_086027.1	22	15.8	0.688
NC_086027.1	23	22.1	0.570
NC_086027.1	24	17.4	0.647
NC_086027.1	25	9.7	0.809
NC_086027.1	26	5.3	0.891
NC_086027.1	27	11.1	0.782
NC_086027.1	28	10.5	0.792
NC_086027.1	29	6.9	0.868
NC_086027.1	30	4.0	0.920
NC_086027.1	31	11.9	0.781
NC_086027.1	32	8.0	0.836
NC_086027.1	33	11.4	0.775
NC_086027.1	34	17.6	0.640
NC_086027.1	35	22.1	0.570
NC_086027.1	36	44.9	0.224
NC_086027.1	37	53.9	0.085
NC_086027.1	38	54.7	0.072
NC_086027.1	39	54.6	0.075
NC_086027.1	40	54.5	0.074
NC_086027.1	41	52.8	0.112
NC_086027.1	42	56.5	0.047
NC_086027.1	43	58.0	0.027
NC_086027.1	44	56.6	0.048
NC_086027.1	45	57.6	0.032
NC_086027.1	46	54.7	0.074
NC_086027.1	47	51.3	0.124
NC_086027.1	48	51.3	0.118
NC_086027.1	49	52.2	0.103
NC_086027.1	50	49.0	0.160
NC_086027.1	51	43.8	0.240
NC_086027.1	52	41.4	0.277
NC_086027.1	53	37.5	0.344
NC_086027.1	54	38.3	0.331
NC_086027.1	55	38.8	0.320
NC_086027.1	56	39.0	0.323
NC_086027.1	57	39.0	0.322
NC_086027.1	58	44.1	0.233
NC_086027.1	59	42.0	0.270
NC_086027.1	60	43.6	0.243
NC_086027.1	61	50.8	0.134
NC_086027.1	62	45.9	0.207
NC_086027.1	63	45.0	0.218
NC_086027.1	64	47.4	0.183
NC_086027.1	65	43.9	0.230
NC_086027.1	66	42.5	0.264
NC_086027.1	67	48.3	0.169
NC_086027.1	68	47.2	0.184
NC_086027.1	69	46.5	0.197
NC_086027.1	70	45.8	0.203
NC_086027.1	71	40.6	0.293
NC_086027.1	72	38.4	0.325
NC_086027.1	73	36.8	0.351
NC_086027.1	74	38.6	0.333
