win	wgs_tum	wgs_nor	pacbio_tum	mb	chr
0	0.267553584626755	0.434192672998643	0.00532381810098154	0	chr12
1	0.896526237989653	1.00814111261872	1.0019152065117	0.5	chr12
2	0.928307464892831	1.35753052917232	1.14873630570344	1	chr12
3	0.528455284552846	0.898914518317503	0.304859836523444	1.5	chr12
4	0.441980783444198	0.689959294436906	0.000923403139570675	2	chr12
5	0.686622320768662	0.83921302578019	0.717016837857249	2.5	chr12
6	0.819660014781966	0.864314789687924	1.04539495434284	3	chr12
7	0.997043606799704	1.31004070556309	1.27579543770449	3.5	chr12
8	0.796008869179601	0.415196743554953	1.21887504417515	4	chr12
9	0.880266075388027	0.21438263229308	0.894703541992043	4.5	chr12
10	2.47893569844789	1.56173677069199	0.883463103774553	5	chr12
11	2.15225424981523	1.62890094979647	0.864875340576158	5.5	chr12
12	3.06651884700665	2.69131614654003	0.695145863495936	6	chr12
13	1.17294900221729	1.36160108548168	0.918501122903818	6.5	chr12
14	1.40133037694013	1.50814111261872	0.840906759082981	7	chr12
15	0.82409460458241	1.35549525101764	1.07767416409216	7.5	chr12
16	0.51219512195122	0.852781546811398	1.17725920268129	8	chr12
17	1.61492978566149	2.07259158751696	0.546757258974681	8.5	chr12
18	1.23872875092387	1.47150610583446	0.776690340747159	9	chr12
19	2.4560236511456	2.13432835820896	0.695926766151005	9.5	chr12
20	2.62084257206208	1.95522388059702	0.811563059314402	10	chr12
21	3.14855875831486	2.65535956580733	0.609617072698047	10.5	chr12
22	3.22246858832225	2.6336499321574	0.728109075570857	11	chr12
23	2.76644493717664	2.02103120759837	0.789828885418211	11.5	chr12
24	2.99260901699926	2.30189959294437	0.773099328537717	12	chr12
25	2.98965262379897	2.80393487109905	0.607701866186345	12.5	chr12
26	2.97782705099778	2.2449118046133	0.650560311905061	13	chr12
27	2.61566888396157	2.04206241519674	0.796064706620003	13.5	chr12
28	1.12934220251293	1.32903663500678	1.13620766310605	14	chr12
29	3.61640798226164	3.25780189959294	0.806997343790969	14.5	chr12
30	3.12490761271249	2.26322930800543	0.635346960179665	15	chr12
31	3.09312638580931	2.44708276797829	0.766721006851423	15.5	chr12
32	3.24907612712491	3.36770691994573	0.817656380031692	16	chr12
33	3.56688839615669	3.90027137042062	0.579994071979845	16.5	chr12
34	3.26090169992609	3.06445047489824	0.694279460550166	17	chr12
35	3.06282335550628	2.56716417910448	0.673052588378801	17.5	chr12
36	2.00147819660015	1.47286295793759	0.899531458406959	18	chr12
37	2.88913525498891	2.6696065128901	0.650121410412796	18.5	chr12
38	3.92535107169254	4.81750339213026	0.717837640647978	19	chr12
39	3.93569844789357	3.8921302578019	0.67475119415406	19.5	chr12
40	3.99260901699926	5.7483039348711	0.638630171342583	20	chr12
41	3.90243902439024	3.8955223880597	0.715050331171126	20.5	chr12
42	1.64375461936438	1.45861601085482	1.01928886558214	21	chr12
43	0.851441241685144	1.4966078697422	1.17296138806872	21.5	chr12
44	2.05173688100517	2.07055630936228	0.908805389938326	22	chr12
45	0.615668883961567	1.47896879240163	1.00815102771349	22.5	chr12
46	0.0317812269031781	0.120759837177748	0	23	chr12
47	0.0724316334072432	0.522388059701493	0.00312931063965618	23.5	chr12
48	0.0339985218033999	0.635006784260516	0	24	chr12
49	3.74722838137472	4.40841248303935	0.669216475336016	24.5	chr12
50	3.70214338507022	3.57327001356852	0.587301496825089	25	chr12
